GENESIS-Tabelle: 71211-0007
Steuereinnahmen: Bundesländer, Quartale, Steuerarten vor der;;;;;;;;;;;;;;;;;;
Steuerverteilung;;;;;;;;;;;;;;;;;;
Statistik über das Steueraufkommen;;;;;;;;;;;;;;;;;;
Steuereinnahmen (Tsd. EUR);;;;;;;;;;;;;;;;;;
;;2008;2008;2008;2008;2009;2009;2009;2009;2010;2010;2010;2010;2011;2011;2011;2011;2012
;;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal
Brandenburg;Veranlagte Einkommensteuer;-111126;41852;57672;109874;-121054;82134;42445;80177;10110;69930;48688;81087;82777;76122;61793;92294;94533
Brandenburg;Nicht veranlagte Steuern vom Ertrag;17987;16234;19960;37226;25173;64664;17593;38313;24286;34755;15487;32359;21089;26649;20742;41623;21925
Brandenburg;Abgeltungssteuer;25031;4812;8264;7370;22895;6060;5999;5095;23810;2664;1934;2419;25801;3783;2789;1969;14444
Brandenburg;Körperschaftsteuer;32768;52692;47692;37956;13946;22876;8756;24057;-520;26094;21465;165481;138206;94030;44314;30392;84532
Brandenburg;Umsatzsteuer;698243;606747;642435;694437;675926;632626;509040;635547;589722;515561;643969;640350;641852;607768;681404;743974;767251
Brandenburg;Landessteuern;132365;109547;108147;108415;113501;103546;49588;49099;45627;39185;34980;38386;58295;58197;45813;62015;58719
Brandenburg;Vermögensteuer;-;-;-;-;-;-;0;-;0;0;0;-;-;-;-;-;-
Brandenburg;Erbschaftsteuer;5217;4914;7094;4903;3739;4767;6567;4731;3823;3022;3804;4113;3078;3910;3438;5211;4615
Brandenburg;Grunderwerbsteuer;30513;26135;25748;27811;27112;23089;29025;29487;30317;18495;16885;20319;38770;37367;29257;42545;37959
Brandenburg;Kraftfahrzeugsteuer (Land);76886;64928;62345;62345;68111;60762;0;-;-;-;-;-;-;-;-;-;-
Brandenburg;Totalisatorsteuer;-;3;143;62;-;121;102;50;0;191;74;48;-;147;105;82;-
Brandenburg;Andere Rennwettsteuer;-;-;-;-;-;-;0;-;0;0;0;-;-;-;-;-;-
Brandenburg;Lotteriesteuer;14699;7322;8073;7358;8897;7489;6886;8446;5378;9680;7554;7468;7904;8087;7241;8169;7633
Brandenburg;Feuerschutzsteuer;2199;1994;2165;2165;2165;2821;2274;2274;2274;2061;1184;1893;4552;3353;1736;1915;4781
Brandenburg;Biersteuer;2850;4249;5033;3770;3477;4497;4733;4111;3835;5735;5479;4546;3991;5333;4036;4093;3731
Brandenburg;Sonstige Landessteuern;-;-;-;-;-;-;0;-;0;0;0;-;-;-;-;-;-
Brandenburg;Gemeindesteuern;220444;271257;232997;222934;225200;252581;237303;166869;226085;212046;222742;238417;210969;246131;212419;190946;212594
Brandenburg;Grundsteuer A (Land- und Forstwirtschaft);3130;3179;3825;2954;3100;3296;3687;2879;2914;3090;4037;2890;2900;3346;3941;2882;2982
Brandenburg;Grundsteuer B (Sonstige Grundstücke);56207;55307;65142;46341;54100;58023;67086;46627;55467;58364;68712;47421;55268;59428;71675;48046;56230
Brandenburg;Gewerbesteuer (brutto);157579;208784;159073;171431;164300;187184;161647;115058;163674;146661;144910;185565;148775;179475;131017;137200;149091
Brandenburg;Sonstige Steuern;3531;3990;4955;2208;3600;4078;4883;2305;4030;3931;5083;2541;4026;3882;5786;2818;4291
Bremen;Lohnsteuer;310571;349352;338361;400875;328962;337222;337547;388848;301339;330618;310288;373776;318425;356377;342616;403101;328813
Bremen;Veranlagte Einkommensteuer;52832;100037;81407;88739;44519;103459;53807;87583;75184;126879;84512;62058;64147;81977;53364;83561;75680
Bremen;Nicht veranlagte Steuern vom Ertrag;11282;35258;22506;23128;18424;38757;9815;11390;12637;43687;2801;25799;16783;20181;26045;36486;20882
Bremen;Abgeltungssteuer;46593;22916;22154;24930;44966;19119;18817;17670;23664;15715;10701;12524;19702;14458;8925;10361;18600
Bremen;Körperschaftsteuer;69966;72232;46708;50305;30435;13860;15205;40167;30799;42294;22371;29911;59582;55148;26702;39052;46782
Bremen;Umsatzsteuer;311799;252044;225506;308069;383327;316314;348800;329944;297660;340348;347873;322248;314595;218924;335458;322051;354446
Bremen;Landessteuern;41245;41495;43564;37597;42554;46692;31238;24485;24477;27021;34073;21738;30841;32061;36459;33493;37189
Bremen;Vermögensteuer;24;-178;1;24;-127;0;-3;3;4;305;-219;12;49;7;-6;-78;22
Bremen;Erbschaftsteuer;5293;8413;6284;5562;11452;14940;13245;6791;6516;7983;15387;1851;9470;9242;10786;11114;11487
Bremen;Grunderwerbsteuer;12744;10394;13326;7990;10607;9063;7975;9253;10027;9655;9568;11662;12624;12588;16258;14454;17006
Bremen;Kraftfahrzeugsteuer (Land);13504;12896;15432;15432;11536;12338;0;-;-;-;-;-;-;-;-;-;-
Bremen;Totalisatorsteuer;-;82;54;42;-;85;64;-;0;66;36;42;-;68;26;39;-
Bremen;Andere Rennwettsteuer;-;-;-;-;-;-;0;-;0;0;0;-;-;-;-;-;-
Bremen;Lotteriesteuer;3724;2840;2399;2784;3129;2891;2394;2918;2764;2934;2530;2808;2858;2713;2694;2708;2710
Bremen;Feuerschutzsteuer;1064;461;669;660;1004;863;749;713;971;407;2062;-1020;1525;1032;582;642;1602
Bremen;Biersteuer;4893;6586;8099;5103;4953;6512;6814;4807;4195;5671;4709;6383;4314;6411;6119;4613;4362
Bremen;Sonstige Landessteuern;-;-;-;-;-;-;0;-;0;0;0;-;-;-;-;-;-
Bremen;Gemeindesteuern;128336;177987;159300;146134;125646;120864;121486;128216;113448;125501;130724;106530;152651;136602;150159;140503;129399
Bremen;Grundsteuer A (Land- und Forstwirtschaft);43;53;61;39;42;50;62;42;44;55;55;39;41;52;65;49;41
Bremen;Grundsteuer B (Sonstige Grundstücke);32756;40530;46019;32354;32993;38974;45399;33150;34168;41033;45581;33732;34744;36727;49645;34041;35811
Bremen;Gewerbesteuer (brutto);93124;135996;112126;112649;90094;80573;74634;93853;76379;82681;83551;71099;114685;97099;97351;103252;88268
Bremen;Sonstige Steuern;2413;1408;1095;1092;2517;1268;1391;1171;2858;1733;1536;1661;3180;2725;3097;3162;5280
Hamburg;Lohnsteuer;1552719;1867483;1617609;1888148;1601861;1777413;1587686;1838501;1500690;1695828;1497467;1772099;1594945;1885872;1600442;1868673;1656826
Hamburg;Veranlagte Einkommensteuer;319517;694981;367048;465510;307602;487932;267177;313590;333408;515381;322818;305687;323044;468839;305153;366187;415107
Hamburg;Nicht veranlagte Steuern vom Ertrag;251969;233014;360801;219791;131990;175410;120313;93579;88418;217461;129551;129665;117636;201429;153842;267114;140644
Hamburg;Abgeltungssteuer;122720;67441;70321;71304;128254;66788;56448;51671;85643;45906;54271;49556;78818;54537;39936;39871;66752
Hamburg;Körperschaftsteuer;16824;420833;121546;150431;185052;-113674;9376;66239;203683;-144999;167521;118156;186505;102530;56914;255848;242848
Hamburg;Umsatzsteuer;2808602;2785199;3101179;3368437;2915936;2777729;2431705;2869190;2823940;2918239;2692427;2828597;2681971;2986635;2604347;2884470;3111817
Hamburg;Landessteuern;222317;200657;365173;136817;184069;157024;130196;207779;118327;126412;168076;204700;177763;158845;147273;176668;160989
Hamburg;Vermögensteuer;5;7;149;386;106;-355;1158;-1368;-4;-1454;212;-59;1614;1;71;0;-2
Hamburg;Erbschaftsteuer;80784;72436;242504;35260;59514;30540;40015;112099;31793;58890;65978;114982;63572;63103;51445;87195;51095
Hamburg;Grunderwerbsteuer;63423;65851;59416;45149;56904;69649;68140;75029;60682;56549;81969;68564;89616;78883;73714;69440;87665
Hamburg;Kraftfahrzeugsteuer (Land);46281;40564;36519;36519;35774;35162;0;-;-;-;-;-;-;-;-;-;-
Hamburg;Totalisatorsteuer;355;285;977;672;265;508;980;470;147;516;902;544;227;387;810;482;242
Hamburg;Andere Rennwettsteuer;0;16;-;-;-;-;0;-;0;0;0;-;-;-;-;-;-
Hamburg;Lotteriesteuer;21257;14055;21267;15009;21077;17366;14549;16603;15047;15325;14818;16172;15992;13576;16353;14923;14700
Hamburg;Feuerschutzsteuer;6071;3705;1404;1286;8064;1020;2282;2297;8385;-6355;1172;2624;4505;-120;1713;1890;4720
Hamburg;Biersteuer;4143;3738;3173;2535;2365;3135;3071;2648;2276;2941;3026;0;2236;3016;3166;2737;2569
Hamburg;Sonstige Landessteuern;-;-;-;-;-;-;0;-;0;0;0;-;-;-;-;-;-
Hamburg;Gemeindesteuern;571070;574751;695007;508842;565514;496835;477907;471766;540195;441069;591945;595393;547902;550022;6082973;609901;556917
Hamburg;Grundsteuer A (Land- und Forstwirtschaft);159;171;186;292;167;177;152;242;153;160;202;269;162;163;180;288;166
Hamburg;Grundsteuer B (Sonstige Grundstücke);77514;89902;141200;89805;74811;86170;163196;88289;81393;86845;170372;84320;80187;89491;163891;75564;86547
Hamburg;Gewerbesteuer (brutto);489169;481118;546709;413463;484267;404964;306062;375485;449961;346066;411368;502553;457793;451597;434055;524853;459507
Hamburg;Sonstige Steuern;4227;3560;6912;5283;6270;5524;8498;7750;8688;7998;10003;8251;9760;8772;10170;9196;10697
Hessen;Lohnsteuer;4109257;4225783;3674367;4431440;3984300;3700795;3611922;4165970;3692040;3681256;3230743;3897363;3680785;3901312;3468566;4170168;3783555
Hessen;Veranlagte Einkommensteuer;251636;782394;639593;699288;151891;756879;433437;657711;418032;826933;567857;507938;346075;555743;581025;672726;561910
Hessen;Nicht veranlagte Steuern vom Ertrag;308275;1051650;319040;280421;586822;678253;366042;264807;531363;577982;303544;190352;316624;1092434;266512;316976;239778
Hessen;Abgeltungssteuer;1960064;1061975;984517;1097434;1797340;927582;758861;875926;1172760;665235;511813;763978;1094675;637067;421376;674920;1165914
Hessen;Körperschaftsteuer;-209862;518320;157517;402112;513120;-849162;33770;152589;-75092;500338;-29072;696572;486294;-13281;198796;634200;451464
Hessen;Umsatzsteuer;3908322;3583809;3781764;4107739;4349572;4360443;4232651;4247401;3835336;3540604;3573178;3840157;3697124;3681453;3912104;3792161;3999037
Hessen;Landessteuern;558387;452221;433853;375938;421090;577717;233912;246862;218737;262972;239399;262082;296261;278970;228544;276565;285135
Hessen;Vermögensteuer;-992;98;-226;99;355;-444;56;22;244;154;-473;26;-1;17;99;12;30
Hessen;Erbschaftsteuer;139276;125945;109782;86494;80750;288011;89670;91925;76206;128895;99923;113435;115959;124566;73981;88987;79277
Hessen;Grunderwerbsteuer;146546;112506;124293;110393;92068;95527;107548;118636;91780;97120;104124;110366;131649;117951;114842;154029;154518
Hessen;Kraftfahrzeugsteuer (Land);205766;177632;138851;138851;187418;161257;0;-;-;-;-;-;-;-;-;-;-
Hessen;Totalisatorsteuer;1;107;83;34;-;112;88;82;0;41;102;3;-;19;25;155;-
Hessen;Andere Rennwettsteuer;0;-;-;-;-;-;0;-;0;0;0;-;-;-;-;-;-
Hessen;Lotteriesteuer;42510;29693;31065;31571;36532;26444;25157;28841;27248;27630;24613;27163;29990;27484;27354;23161;32032
Hessen;Feuerschutzsteuer;19136;-394;4164;2711;18660;-214;4021;1816;18194;2937;3502;5599;13466;1753;5170;5704;14241
Hessen;Biersteuer;6143;6635;7394;5784;5307;7024;7372;5539;5065;6195;7610;5490;5197;7181;7073;4517;5037
Hessen;Sonstige Landessteuern;-;-;-;-;-;-;0;-;0;0;0;-;-;-;-;-;-
Hessen;Gemeindesteuern;1293115;1353621;1328076;1068050;1011300;960123;891001;1094130;887103;1067219;1196972;1285177;1175620;1077452;1174858;1153683;1059545
Hessen;Grundsteuer A (Land- und Forstwirtschaft);4255;3499;5697;3701;4700;4066;5621;3658;4326;3729;5836;3580;4301;3839;5800;3609;4385
Hessen;Grundsteuer B (Sonstige Grundstücke);159713;173124;222898;155882;162600;181568;214521;163000;170255;171455;227357;169709;172930;190723;218691;170936;182987
Hessen;Gewerbesteuer (brutto);1122244;1168723;1085494;900565;837200;766060;655817;919848;703882;882978;945858;1102521;987302;870695;929310;966816;857692
Hessen;Sonstige Steuern;6904;8275;13991;7902;6900;8429;15042;7624;8640;9057;17921;9367;11087;12195;21057;12322;14481
Mecklenburg-Vorpommern;Lohnsteuer;187002;170601;204164;274458;204167;126999;193987;267556;166272;133113;179504;249949;186864;146579;207737;276205;198309
Mecklenburg-Vorpommern;Veranlagte Einkommensteuer;-42916;44811;63177;75905;-40877;62809;46459;73232;42480;56103;55022;92936;107414;56583;59249;89241;98494
Mecklenburg-Vorpommern;Nicht veranlagte Steuern vom Ertrag;9694;7982;7815;43027;13841;585;5507;16531;19469;4014;11508;15206;6708;7254;12073;21601;26663
Mecklenburg-Vorpommern;Abgeltungssteuer;10442;2307;2954;2823;11434;2476;2254;1581;8696;1733;1310;1175;6910;1626;1085;1347;6445
Mecklenburg-Vorpommern;Körperschaftsteuer;31243;32488;-28959;9153;19503;6692;-52599;10390;-1253;13012;-23815;23148;25642;21312;-2783;33041;30503
Mecklenburg-Vorpommern;Umsatzsteuer;151269;145405;209955;200381;164071;146445;239768;254016;177532;169672;242758;254767;151811;166021;219299;234157;186859
Mecklenburg-Vorpommern;Landessteuern;81054;78855;76933;69874;74837;68611;34190;37781;31262;29897;35298;28821;34851;37911;40035;37413;42273
Mecklenburg-Vorpommern;Vermögensteuer;-;-;-;-;-;-;0;-;0;0;0;-;-;-;-;-;-
Mecklenburg-Vorpommern;Erbschaftsteuer;2195;2562;1918;2388;3130;2852;1497;2605;2099;2053;2060;1784;1678;1498;2645;2429;2074
Mecklenburg-Vorpommern;Grunderwerbsteuer;21603;24048;23353;18291;17570;15169;20057;22771;18140;15725;21470;15391;20652;23539;25652;24598;28140
Mecklenburg-Vorpommern;Kraftfahrzeugsteuer (Land);44798;39646;37359;37359;41977;37878;0;-;-;-;-;-;-;-;-;-;-
